,cname,ccodealp,ht_region,gle_cgdpc,undp_hdi,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
23,Brunei,BRN,SouthEastAsia,46103.84,0.86400002,0.4120000004768372,4.599999904632568,4.417221069335938,3.353189945220947,87.03231811523438
140,Timor-Leste,TLS,SouthEastAsia,1957.8101,0.60299999,1.146000027656555,7.0,2.449350833892822,7.7750000953674325,51.84904861450195
184,United Kingdom,GBR,WesternDem,34791.051,0.90799999,64.59700012207031,2.099999904632568,4.633322238922119,5.734489917755128,98.2799835205078
187,Burkina Faso,BFA,SubSaharian,1095.96,0.39899999,16.5,6.9000000953674325,2.868712186813355,4.60476016998291,26.4928092956543
91,Kuwait,KWT,NorthAfrica,64342.710999999996,0.79900002,3.999000072479248,3.0999999046325684,3.075769186019898,,83.57884979248047
133,Papua New Guinea,PNG,Pacific,1693.54,0.51499999,6.880000114440918,7.0999999046325675,,,
4,Angola,AGO,SubSaharian,3771.2,0.53100002,25.78899955749512,6.0,2.134715557098389,,
8,Australia,AUS,WesternDem,38611.949,0.93699998,23.62100028991699,1.0,4.79896879196167,5.225339889526367,87.5728530883789
60,Djibouti,DJI,SubSaharian,2685.5,0.47,,5.800000190734862,,,
173,Tonga,TON,Pacific,3962.0601,0.71799999,0.1040000021457672,,,,75.42909240722656
125,Niger,NER,SubSaharian,644.53998,0.35100001,,6.9000000953674325,,6.709410190582275,15.665040016174322
132,Panama,PAN,LatAm,15137.04,0.78500003,3.788000106811523,4.0,3.523098230361939,3.187720060348511,77.83374786376953
1,Albania,ALB,EastEurope,8516.7002,0.76200002,,7.0999999046325675,4.111338615417481,3.539439916610718,85.27821350097656
126,Nigeria,NGA,SubSaharian,2246.8201,0.52499998,160.3419952392578,7.0999999046325675,2.85273027420044,,
20,Brazil,BRA,LatAm,9815.2402,0.75400001,202.7689971923828,4.099999904632568,2.720419406890869,5.993949890136719,82.8290786743164
62,Georgia,GEO,EastEurope,7148.5698,0.76800001,3.7300000190734863,5.400000095367432,3.20092511177063,1.983309984207153,92.05198669433594
50,Dominican Republic,DOM,LatAm,10376.63,0.71799999,,7.5999999046325675,2.636394500732422,,65.45761108398439
99,Liechtenstein,LIE,WesternDem,102243.52,0.91100001,,,,2.556040048599243,91.53871917724608
158,Slovenia,SVN,EastEurope,24456.561,0.88800001,2.0610001087188716,2.799999952316284,4.073011398315431,5.4865899085998535,94.94590759277344
73,Honduras,HND,LatAm,3303.1399,0.62300003,,6.9000000953674325,3.1801576614379883,5.86775016784668,49.259361267089844
63,Gambia,GMB,SubSaharian,1601.88,0.44999999,,7.699999809265138,4.276580810546875,2.767709970474243,
89,"Korea, North",PRK,EastAsia,1727.8199,,,4.199999809265137,,,76.20372772216797
